companyName,ticker,cik,filedAt,accessionNo,filingUrl
EXXON MOBIL CORP,XOM,34088,2025-02-19T16:39:37-05:00,0000034088-25-000010,https://www.sec.gov/Archives/edgar/data/34088/000003408825000010/xom-20241231.htm
EXXON MOBIL CORP,XOM,34088,2024-02-28T16:37:18-05:00,0000034088-24-000018,https://www.sec.gov/Archives/edgar/data/34088/000003408824000018/xom-20231231.htm
EXXON MOBIL CORP,XOM,34088,2023-02-22T16:37:14-05:00,0000034088-23-000020,https://www.sec.gov/Archives/edgar/data/34088/000003408823000020/xom-20221231.htm
EXXON MOBIL CORP,XOM,34088,2022-02-23T16:11:16-05:00,0000034088-22-000011,https://www.sec.gov/Archives/edgar/data/34088/000003408822000011/xom-20211231.htm
EXXON MOBIL CORP,XOM,34088,2021-02-24T17:01:02-05:00,0000034088-21-000012,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/xom-20201231.htm
EXXON MOBIL CORP,XOM,34088,2020-02-26T16:15:19-05:00,0000034088-20-000016,https://www.sec.gov/ix?doc=/Archives/edgar/data/34088/000003408820000016/xom10k2019.htm
EXXON MOBIL CORP,XOM,34088,2019-02-27T16:19:37-05:00,0000034088-19-000010,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/xom10k2018.htm
EXXON MOBIL CORP,XOM,34088,2018-02-28T16:39:51-05:00,0000034088-18-000015,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/xom10k2017.htm
EXXON MOBIL CORP,XOM,34088,2017-02-22T16:47:56-05:00,0000034088-17-000017,https://www.sec.gov/Archives/edgar/data/34088/000003408817000017/xom10k2016.htm
EXXON MOBIL CORP,XOM,34088,2016-02-24T16:09:22-05:00,0000034088-16-000065,https://www.sec.gov/Archives/edgar/data/34088/000003408816000065/xom10k2015.htm
EXXON MOBIL CORP,XOM,34088,2015-02-25T16:26:23-05:00,0000034088-15-000013,https://www.sec.gov/Archives/edgar/data/34088/000003408815000013/xom10k2014.htm
EXXON MOBIL CORP,XOM,34088,2014-02-26T16:07:02-05:00,0000034088-14-000012,https://www.sec.gov/Archives/edgar/data/34088/000003408814000012/xom10k2013.htm
